"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2024","47,538","48,504","48,504","47,850","3.20K","-1.57%"
"01/30/2024","48,297","48,750","48,750","48,218","0.31K","0.77%"
"01/29/2024","47,930","47,755","48,805","47,362","0.69K","0.37%"
"01/26/2024","47,755","48,909","48,909","47,989","0.86K","-0.55%"
"01/25/2024","48,021","48,043","48,192","47,796","0.44K","-0.41%"
"01/24/2024","48,217","48,172","48,254","47,728","0.31K","0.09%"
"01/23/2024","48,172","48,701","48,944","47,497","0.38K","-0.78%"
"01/22/2024","48,551","48,000","49,912","48,000","1.51K","3.32%"
"01/19/2024","46,989","47,422","47,789","47,196","0.08K","0.08%"
"01/18/2024","46,952","47,000","47,227","46,615","0.35K","-0.46%"
"01/17/2024","47,168","47,223","47,347","46,839","0.78K","0.62%"
"01/16/2024","46,879","48,721","48,721","46,475","0.75K","0.89%"
"01/15/2024","46,466","46,346","46,804","46,229","0.51K","0.26%"
"01/12/2024","46,346","45,951","46,565","45,951","0.25K","-0.17%"
"01/11/2024","46,424","46,852","46,852","46,326","0.49K","0.08%"
"01/10/2024","46,388","47,911","47,911","45,710","0.88K","1.34%"
"01/09/2024","45,773","47,988","47,988","45,710","0.81K","0.07%"
"01/08/2024","45,741","45,231","46,182","45,231","0.32K","-0.21%"
"01/05/2024","45,836","46,754","47,222","45,647","0.69K","-0.22%"
"01/04/2024","45,935","46,481","46,481","45,107","0.25K","-0.55%"
"01/03/2024","46,188","45,087","46,551","45,087","0.58K","1.09%"
"01/02/2024","45,689","46,200","46,336","44,966","0.50K","-1.19%"
"12/29/2023","46,240","46,758","46,758","45,335","0.48K","-0.12%"
"12/28/2023","46,295","46,370","47,052","44,999","0.87K","0.61%"
"12/27/2023","46,013","45,260","46,639","45,260","3.65K","1.35%"
"12/22/2023","45,398","46,060","46,060","45,286","0.11K","0.42%"
"12/21/2023","45,209","45,886","45,886","44,808","0.58K","-0.54%"
"12/20/2023","45,454","45,966","45,976","44,617","0.14K","0.29%"
"12/19/2023","45,322","46,035","46,035","45,643","1.35K","-0.56%"
"12/18/2023","45,579","44,500","45,652","44,500","0.50K","0.05%"
"12/14/2023","45,555","45,911","45,911","45,404","0.49K","-1.26%"
"12/13/2023","46,138","46,492","46,492","45,118","1.52K","1.08%"
"12/12/2023","45,643","45,929","45,929","45,387","0.06K","-0.14%"
"12/11/2023","45,706","46,031","46,031","45,504","0.87K","1.40%"
"12/08/2023","45,074","45,183","45,279","44,500","0.20K","0.57%"
"12/07/2023","44,819","44,500","44,945","44,500","0.03K","-0.48%"
"12/06/2023","45,036","45,551","46,555","45,034","12.83K","0.26%"
"12/05/2023","44,918","44,280","45,204","44,280","0.48K","0.81%"
"12/04/2023","44,559","45,283","45,283","43,725","3.04K","-0.22%"
"12/01/2023","44,657","45,287","45,287","44,177","0.36K","-0.41%"
"11/30/2023","44,839","44,638","44,924","44,321","0.13K","1.45%"
"11/29/2023","44,196","44,850","44,850","43,843","2.53K","-0.12%"
"11/28/2023","44,248","44,960","44,960","43,413","1.48K","-0.03%"
"11/27/2023","44,263","43,695","44,597","43,695","0.20K","-1.21%"
"11/24/2023","44,803","44,525","45,322","44,462","0.76K","0.62%"
"11/23/2023","44,525","45,296","45,296","44,267","0.58K","0.02%"
"11/22/2023","44,518","43,567","44,421","43,567","0.31K","2.77%"
"11/21/2023","43,319","43,567","43,567","42,204","0.43K","0.27%"
"11/20/2023","43,202","42,800","43,498","42,423","0.16K","0.31%"
"11/17/2023","43,067","43,567","43,567","42,880","6.49K","0.42%"
"11/16/2023","42,885","42,094","43,018","42,094","2.58K","0.39%"
"11/15/2023","42,718","43,567","43,567","42,500","4.02K","-0.53%"
"11/14/2023","42,944","43,567","43,567","42,602","1.93K","-0.01%"
"11/13/2023","42,949","43,178","43,178","41,902","0.28K","0.82%"
"11/10/2023","42,599","42,301","42,724","42,301","0.05K","0.92%"
"11/09/2023","42,209","42,577","42,577","42,300","0.11K","0.11%"
"11/08/2023","42,161","41,500","42,246","41,224","0.42K","1.26%"
"11/07/2023","41,637","42,246","42,246","41,392","0.20K","0.51%"
"11/06/2023","41,426","41,562","41,631","41,328","9.62K","0.24%"
"11/03/2023","41,328","41,703","41,703","40,470","0.45K","0.43%"
"11/02/2023","41,152","41,699","41,699","40,491","0.12K","0.91%"
"11/01/2023","40,779","40,797","41,847","40,575","1.41K","0.90%"
"10/31/2023","40,414","41,096","41,096","39,500","0.17K","0.00%"
"10/30/2023","40,413","41,688","41,688","40,551","0.86K","0.11%"
"10/27/2023","40,367","41,002","41,002","40,562","0.32K","-2.06%"
"10/26/2023","41,215","41,372","41,683","41,273","0.86K","-1.30%"
"10/25/2023","41,759","42,103","42,543","42,097","0.42K","-0.76%"
"10/24/2023","42,080","41,879","42,274","41,879","0.75K","1.17%"
"10/23/2023","41,594","41,954","41,990","41,533","0.49K","-0.50%"
"10/20/2023","41,803","42,469","42,479","41,992","1.15K","-2.42%"
"10/19/2023","42,841","42,929","43,035","42,601","0.16K","-0.09%"
"10/18/2023","42,879","42,622","42,716","42,269","0.05K","0.80%"
"10/17/2023","42,538","42,792","42,826","42,426","0.27K","-0.34%"
"10/16/2023","42,685","43,285","43,285","42,331","0.75K","-0.40%"
"10/13/2023","42,856","43,151","43,151","42,638","0.30K","-0.60%"
"10/12/2023","43,116","43,042","43,183","42,735","0.22K","1.28%"
"10/11/2023","42,572","43,500","43,500","42,751","1.43K","-1.55%"
"10/10/2023","43,243","43,643","43,720","43,032","0.79K","0.09%"
"10/09/2023","43,206","43,224","43,452","43,224","0.18K","1.01%"
