"Date","Price","Open","High","Low","Vol.","Change %"
"10/16/2023","6,844","6,858","6,865","6,770","215.37K","0.32%"
"10/13/2023","6,822","6,850","6,883","6,778","81.27K","-0.73%"
"10/12/2023","6,872","7,000","7,000","6,850","482.03K","-0.45%"
"10/11/2023","6,903","6,900","6,939","6,777","1.00M","0.38%"
"10/10/2023","6,877","6,777","6,896","6,719","160.25K","2.66%"
"10/09/2023","6,699","6,725","6,758","6,651","77.62K","0.24%"
"10/06/2023","6,683","6,850","6,850","6,599","195.34K","0.50%"
"10/05/2023","6,650","6,600","6,690","6,566","188.74K","1.13%"
"10/04/2023","6,576","6,600","6,662","6,504","316.61K","-0.44%"
"10/03/2023","6,605","6,800","6,800","6,580","215.96K","-0.87%"
"10/02/2023","6,663","6,800","6,800","6,660","172.34K","-1.29%"
"09/29/2023","6,750","6,782","6,851","6,720","200.04K","-0.15%"
"09/28/2023","6,760","6,730","6,771","6,700","125.02K","0.42%"
"09/27/2023","6,732","6,849","6,849","6,712","90.38K","-0.53%"
"09/26/2023","6,768","6,866","6,866","6,707","171.33K","-1.37%"
"09/22/2023","6,862","6,800","6,994","6,800","35.35K","0.28%"
"09/21/2023","6,843","6,965","6,965","6,796","160.50K","-1.92%"
"09/20/2023","6,977","6,946","6,965","6,870","358.01K","1.40%"
"09/19/2023","6,881","7,000","7,000","6,863","141.41K","-0.29%"
"09/18/2023","6,901","7,040","7,040","6,877","129.93K","-1.05%"
"09/15/2023","6,974","7,000","7,029","6,944","144.97K","0.48%"
"09/14/2023","6,941","6,770","6,947","6,770","345.42K","1.76%"
"09/13/2023","6,821","6,880","6,886","6,801","160.83K","-0.89%"
"09/12/2023","6,882","6,870","6,907","6,840","547.74K","-0.17%"
"09/11/2023","6,894","6,900","6,943","6,869","706.74K","0.67%"
"09/08/2023","6,848","6,814","6,858","6,761","233.98K","0.50%"
"09/07/2023","6,814","6,895","6,895","6,800","76.17K","-1.19%"
"09/06/2023","6,896","6,901","6,955","6,876","135.37K","-0.85%"
"09/05/2023","6,955","7,200","7,200","6,901","67.91K","-0.73%"
"09/04/2023","7,006","7,098","7,098","6,922","197.67K","1.01%"
"09/01/2023","6,936","7,200","7,200","6,911","142.98K","-0.39%"
"08/31/2023","6,963","7,050","7,050","6,940","92.02K","-0.04%"
"08/30/2023","6,966","7,100","7,100","6,922","80.74K","0.23%"
"08/29/2023","6,950","7,085","7,085","6,900","108.86K","-0.27%"
"08/28/2023","6,969","6,937","6,985","6,874","67.95K","1.47%"
"08/25/2023","6,868","7,039","7,039","6,877","125.40K","-0.36%"
"08/24/2023","6,893","7,080","7,080","6,864","683.17K","0.29%"
"08/23/2023","6,873","6,804","6,887","6,797","356.03K","1.01%"
"08/22/2023","6,804","6,950","6,950","6,797","89.13K","-0.63%"
"08/21/2023","6,847","6,898","6,898","6,780","122.47K","0.85%"
"08/18/2023","6,789","6,880","6,880","6,766","121.79K","-1.65%"
"08/17/2023","6,903","6,910","6,995","6,881","187.52K","-0.80%"
"08/16/2023","6,959","7,095","7,095","6,910","159.80K","-0.94%"
"08/15/2023","7,025","7,350","7,350","7,005","84.71K","-0.75%"
"08/14/2023","7,078","7,156","7,175","7,020","67.86K","-1.10%"
"08/11/2023","7,157","7,200","7,395","7,148","152.19K","-0.95%"
"08/10/2023","7,226","7,200","7,398","7,118","98.72K","1.12%"
"08/08/2023","7,146","7,200","7,200","7,101","284.36K","-0.32%"
"08/07/2023","7,169","7,250","7,250","7,038","189.10K","0.10%"
"08/04/2023","7,162","7,298","7,298","7,093","198.48K","0.31%"
"08/03/2023","7,140","7,145","7,159","7,047","195.10K","-0.04%"
"08/02/2023","7,143","7,274","7,400","7,150","96.35K","-2.50%"
"08/01/2023","7,326","7,400","7,400","7,307","190.16K","-0.37%"
"07/31/2023","7,353","7,350","7,379","7,282","402.97K","0.49%"
"07/28/2023","7,317","7,306","7,341","7,268","95.65K","0.16%"
"07/27/2023","7,305","7,284","7,320","7,259","156.74K","0.98%"
"07/26/2023","7,234","7,340","7,340","7,177","35.30K","-0.86%"
"07/25/2023","7,297","7,226","7,318","7,226","124.33K","0.98%"
"07/24/2023","7,226","7,203","7,276","7,200","85.55K","0.07%"
"07/21/2023","7,221","7,245","7,255","7,202","90.15K","-0.33%"
"07/20/2023","7,245","7,281","7,294","7,225","83.89K","-0.06%"
"07/19/2023","7,249","7,230","7,285","7,230","223.60K","0.12%"
"07/18/2023","7,240","7,221","7,282","7,200","150.38K","-0.48%"
"07/17/2023","7,275","7,300","7,300","7,223","60.04K","-0.42%"
"07/14/2023","7,306","7,299","7,336","7,200","113.87K","0.43%"
"07/13/2023","7,275","7,185","7,283","7,177","100.66K","1.24%"
"07/12/2023","7,186","7,060","7,191","7,025","108.78K","2.47%"
"07/11/2023","7,013","7,003","7,050","6,964","153.58K","0.49%"
"07/10/2023","6,979","7,141","7,141","6,911","95.68K","-0.47%"
"07/07/2023","7,012","6,932","7,027","6,932","125.86K","0.94%"
"07/06/2023","6,947","7,000","7,284","6,950","422.16K","-2.40%"
"07/05/2023","7,118","7,344","7,344","7,083","64.44K","-0.43%"
"07/04/2023","7,149","7,349","7,349","7,122","126.95K","-0.29%"
"07/03/2023","7,170","7,198","7,198","7,132","234.04K","0.60%"
"06/30/2023","7,127","7,095","7,149","7,016","442.78K","1.39%"
"06/29/2023","7,029","7,050","7,059","6,977","95.06K","-0.01%"
"06/28/2023","7,030","7,097","7,097","6,995","83.12K","0.36%"
"06/27/2023","7,005","7,037","7,078","6,956","88.92K","0.55%"
"06/26/2023","6,967","7,076","7,100","6,925","368.01K","-0.44%"
"06/23/2023","6,998","7,100","7,100","6,905","121.86K","-0.72%"
"06/22/2023","7,049","7,085","7,086","7,015","77.11K","-0.68%"
"06/21/2023","7,097","7,181","7,184","7,066","225.00K","-1.47%"
"06/20/2023","7,203","7,387","7,387","7,186","136.20K","-1.44%"
